20240518-174222
Epoch 0/10 ,Loss 4.722  ,tv_loss 1.921,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.841  ,tv_loss 1.924,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.732  ,tv_loss 1.939,small_score_num 0 ,lr 0.01000 
20240518-185910
Epoch 0/10 ,Loss 4.797  ,tv_loss 1.344,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.664  ,tv_loss 1.726,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.860  ,tv_loss 2.041,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.770  ,tv_loss 2.197,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.783  ,tv_loss 2.267,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.567  ,tv_loss 2.336,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.828  ,tv_loss 2.242,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.687  ,tv_loss 2.107,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.513  ,tv_loss 1.873,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.642  ,tv_loss 1.984,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.879  ,tv_loss 2.014,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.681  ,tv_loss 2.130,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.853  ,tv_loss 2.241,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.796  ,tv_loss 2.184,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.684  ,tv_loss 2.119,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.597  ,tv_loss 2.180,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.836  ,tv_loss 1.996,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.740  ,tv_loss 2.003,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.477  ,tv_loss 2.000,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.642  ,tv_loss 1.767,small_score_num 0 ,lr 0.01000 
20240518-190055
Epoch 0/10 ,Loss 4.685  ,tv_loss 1.344,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.814  ,tv_loss 1.719,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.878  ,tv_loss 2.021,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.769  ,tv_loss 2.137,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.693  ,tv_loss 2.226,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.442  ,tv_loss 2.332,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.241  ,tv_loss 2.299,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.623  ,tv_loss 2.360,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.674  ,tv_loss 2.241,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.649  ,tv_loss 2.232,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.896  ,tv_loss 2.106,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.690  ,tv_loss 1.860,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.592  ,tv_loss 1.730,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.680  ,tv_loss 1.568,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.612  ,tv_loss 1.595,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.526  ,tv_loss 1.519,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.891  ,tv_loss 1.633,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.596  ,tv_loss 1.467,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.780  ,tv_loss 1.519,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.673  ,tv_loss 1.460,small_score_num 0 ,lr 0.01000 
